category,slug,status,detail
Rendimiento,embeddium,OK,"Project "Embeddium" successfully added! (embeddium-0.3.31+mc1.20.1.jar)"
Rendimiento,oculus,OK,"Project "Oculus" successfully added! (oculus-mc1.20.1-1.8.0.jar)"
Rendimiento,ferrite-core,OK,"Project "FerriteCore" successfully added! (ferritecore-6.0.1-forge.jar)"
Rendimiento,modernfix,OK,"Project "ModernFix" successfully added! (modernfix-forge-5.27.83+mc1.20.1.jar)"
Rendimiento,entityculling,OK,"Project "Entity Culling" successfully added! (entityculling-forge-1.11.1-mc1.20.1.jar)"
Rendimiento,clumps,OK,"Project "Clumps" successfully added! (Clumps-forge-1.20.1-12.0.0.4.jar)"
Rendimiento,letmedespawn,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Rendimiento,fast-item-frames,OK,"Project "Fast Item Frames" successfully added! (FastItemFrames-v20.1.5-1.20.1-Forge.jar)"
Rendimiento,moonlight-lib,OK,"Project "Moonlight Lib" successfully added! (moonlight-1.20-2.16.35-forge.jar)"
Rendimiento,spark,OK,"Project "spark" successfully added! (spark-1.10.53-forge.jar)"
KubeJS,kubejs,OK,"Project "KubeJS" successfully added! (kubejs-forge-2001.6.5-build.26.jar)"
KubeJS,kubejs-create,OK,"Project "KubeJS Create" successfully added! (kubejs-create-forge-2001.3.0-build.8.jar)"
KubeJS,kubejs-immersive-engineering,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
KubeJS,architectury-api,OK,"Project "Architectury API" successfully added! (architectury-9.2.14-forge.jar)"
Misiones,ftb-quests-forge,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Misiones,ftb-library-forge,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Misiones,ftb-teams-forge,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Misiones,ftb-ranks-forge,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Misiones,ftb-chunks-forge,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Create,create,OK,"Project "Create" successfully added! (create-1.20.1-6.0.8.jar)"
Create,flywheel,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Create,create-crafts-and-additions,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Create,create-deco,OK,"Project "Create Deco" successfully added! (createdeco-2.0.3-1.20.1-forge.jar)"
Create,create-connected,OK,"Project "Create: Connected" successfully added! (create_connected-1.2.3-mc1.20.1-all.jar)"
Create,create-steam-n-rails,OK,"Project "Create: Steam 'n' Rails" successfully added! (Steam_Rails-1.7.3+forge-mc1.20.1.jar)"
Create,create-interiors,OK,"Project "Create: Interiors" successfully added! (interiors-1.20.1-forge-0.6.0.jar)"
Create,create-confectionery,OK,"Project "Create Confectionery" successfully added! (create-confectionery1.20.1_v1.1.3.jar)"
Create,create-new-age,OK,"Project "Create: New Age" successfully added! (create-new-age-1.2.0+forge-mc1.20.1.jar)"
Create,create-enchantment-industry,OK,"Project "Create: Enchantment Industry" successfully added! (create-enchantment-industry-2.5.2.jar)"
Create,create-arcane-engineering,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Create,create-big-cannons,OK,"Project "Create Big Cannons" successfully added! (createbigcannons-5.11.4-mc.1.20.1-forge.jar)"
Create,create-dreams-and-desires,OK,"Project "Create: Dreams & Desires" successfully added! (Create-DnDesire-1.20.1-0.1b.Release-Early-Dev.jar)"
Create,create-central-kitchen,OK,"Project "Create: Central Kitchen" successfully added! (create_central_kitchen-1.20.1-for-create-6.0.8-1.5.1.jar)"
Create,create-ore-excavation,OK,"Project "Create Ore Excavation" successfully added! (createoreexcavation-1.20-1.6.5.jar)"
Create,create-slice-and-dice,OK,"Project "AsYasya's Legacy Copper" successfully added! (AsYasya's Legacy Copper.zip)"
Create,create-stuff-additions,OK,"Project "Create Stuff 'N Additions" successfully added! (create-stuff-additions1.20.1_v2.1.2.jar)"
Create,create-garnished,OK,"Project "Create: Garnished" successfully added! (garnished-2.1.7.b+1.20.1-neoforged.jar)"
Create,create-numismatics,OK,"Project "Create: Numismatics" successfully added! (CreateNumismatics-1.1.0+forge-mc1.20.1.jar)"
Create,create-alloyed,OK,"Project "Alloyed" successfully added! (alloyed-2.1.4+1.20.1-forge.jar)"
Create,create-mecharm,OK,"Project "[Create-TACZ]mecharmorer" successfully added! (mecharmorer_bullets-4.0.4-simple.jar)"
Create,createutilities,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Create,create-jetpack,OK,"Project "Create Jetpack" successfully added! (create_jetpack-forge-4.4.6.jar)"
Create,immersive-aircraft,OK,"Project "Immersive Aircraft" successfully added! (immersive_aircraft-1.5.0+1.20.1-forge.jar)"
Create,valkyrien-skies,OK,"Project "Valkyrien Skies" successfully added! (valkyrienskies-120-2.4.11.jar)"
Create,eureka-ships,OK,"Project "Eureka! Ships! for Valkyrien Skies (Forge/Fabric)" successfully added! (eureka-1201-1.6.3.jar)"
Dimensiones,twilightforest,OK,"Project "Bluemap x TwilightForest" successfully added! (Twilightforest.bluemap.zip)"
Dimensiones,the-aether,OK,"Project "The Aether" successfully added! (aether-1.20.1-1.5.2-neoforge.jar)"
Dimensiones,blue-skies,OK,"Project "Blue Skies" successfully added! (blue_skies-1.20.1-1.3.31.jar)"
Dimensiones,ad-astra,OK,"Project "Ad Astra" successfully added! (ad_astra-forge-1.20.1-1.15.21.jar)"
Dimensiones,deeper-and-darker,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Dimensiones,incendium,OK,"Project "Incendium Legacy" successfully added! (Incendium_1.20.x_v5.3.5.jar)"
Dimensiones,nyfaria,OK,"Project "Nyf's Spiders" successfully added! (nyfsspiders-Forge-1.20.1-3.0.1.jar)"
Dimensiones,promenade,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Dimensiones,terralith,OK,"Project "Terralith" successfully added! (Terralith_1.20.x_v2.5.4.jar)"
Dimensiones,oh-the-biomes-youll-go,OK,"Project "Macaw's Oh The Biomes You'll Go / We've Gone" successfully added! (mcwbyg-1.20.1-1.6.jar)"
Dimensiones,biomes-o-plenty,OK,"Project "Biomes O' Plenty" successfully added! (BiomesOPlenty-forge-1.20.1-19.0.0.96.jar)"
Dimensiones,atmospheric,OK,"Project "Atmospheric" successfully added! (atmospheric-1.20.1-6.1.1.jar)"
Dimensiones,the-graveyard,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Dimensiones,undergarden,OK,"Project "The Undergarden" successfully added! (The_Undergarden-1.20.1-0.8.14.jar)"
Dimensiones,origins-forge,OK,"Project "Origins (Forge)" successfully added! (origins-forge-1.20.1-1.10.0.9-all.jar)"
Dimensiones,hexcellent,OK,"Project "Hexcellent" successfully added! (hexcellence-1.0.1-forge-1.20.1.jar)"
Dimensiones,beneath,OK,"Project "Beneath" successfully added! (beneath-1.20.1-1.0.6.jar)"
Dimensiones,betterend,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Dimensiones,betternether,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Dimensiones,hardcore-alchemy,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Dimensiones,aquamirae,OK,"Project "Aquamirae" successfully added! (aquamirae-forge-1.20.1-7.1.14.jar)"
Dimensiones,voyage,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Dimensiones,beautify,OK,"Project "Beautify!" successfully added! (beautify-2.0.2.jar)"
Dimensiones,explorers-compass,OK,"Project "Explorer's Compass" successfully added! (ExplorersCompass-1.20.1-1.4.0-forge.jar)"
Dimensiones,when-dungeons-arise,OK,"Project "When Dungeons Arise" successfully added! (DungeonsArise-1.20.x-2.1.58-release.jar)"
Enemigos,alexsmobs,OK,"Project "Bare Bones X Alex's Mobs" successfully added! (BareBonesXAM.zip)"
Enemigos,cataclysm,OK,"Project "L_Ender's Cataclysm" successfully added! (L_Enders_Cataclysm-3.31.jar)"
Enemigos,mutant-monsters,OK,"Project "Mutant Monsters" successfully added! (MutantMonsters-v8.0.8-1.20.1-Forge.jar)"
Enemigos,mowziesmobs,OK,"Project "Frost King" successfully added! (frost_king-1.6.jar)"
Enemigos,bosses-of-mass-destruction,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Enemigos,dungeons-mobs,OK,"Project "MSS - Moog's Soaring Structures" successfully added! (MoogsSoaringStructures-universal-1.20-2.2.0.jar)"
Enemigos,infernal-mobs,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Enemigos,iceandfire,OK,"Project "Better IceandFire bone swords" successfully added! (3Dbetter_swords.zip)"
Enemigos,mutant-beasts,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Enemigos,scapes-and-runes,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Enemigos,haema,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Enemigos,deeperdarker-mobs,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Enemigos,dungeons-and-taverns,OK,"Project "Dungeons and Taverns" successfully added! (dungeons-and-taverns-3.0.3.f.jar)"
Enemigos,repixelated,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Enemigos,primal-winter,OK,"Project "Primal Winter" successfully added! (primalwinter-forge-1.20-5.0.0.jar)"
Enemigos,endergetic,OK,"Project "The Endergetic Expansion" successfully added! (endergetic-1.20.1-5.0.1.jar)"
Enemigos,epic-fight,OK,"Project "Epic Fight" successfully added! (epic-fight-20.14.17-mc1.20.1-forge.jar)"
Enemigos,mine-and-slash,OK,"Project "Mine and Slash" successfully added! (Mine_and_Slash-1.20.1-6.3.7.jar)"
Enemigos,tactical-hud,OK,"Project "Better Indicators" successfully added! (better_indicators-1.0.1-forge-1.20.1.jar)"
Enemigos,deadly-world,FAIL,"Searching Modrinth... Failed to add project: this command should not be used to add Modrinth modpacks; and importing of Modrinth modpacks is not yet supported "
Mascotas,friendsandfoes,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Mascotas,naturalist,OK,"Project "Naturalist" successfully added! (naturalist-5.0pre4+forge-1.20.1.jar)"
Mascotas,kobolds,OK,"Project "Kobolds" successfully added! (Kobolds-2.12.0.jar)"
Mascotas,additional-additions,OK,"Project "Additional Additions: Vanilla+ QoL; Sniffers; Music; Food" successfully added! (additionaladditions-6.0.1.jar)"
Mascotas,ice-and-fire-dragonriding,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Mascotas,pets-pack,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Mascotas,dungeons-and-taverns-pets,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Mascotas,fluffy-fur,OK,"Project "Fluffy Fur" successfully added! (fluffy_fur-1.20.1-0.2.12.jar)"
Mascotas,farm-and-charm,OK,"Project "Mizuno's x Letsdo Farm and Charm" successfully added! (Mizuno's x Letsdo Farm and Charm.zip)"
Mascotas,tinkers-construct,OK,"Project "Tinkers' Construct" successfully added! (TConstruct-1.20.1-3.12.0.220.jar)"
Magia,ars-nouveau,OK,"Project "Ars Nouveau" successfully added! (ars_nouveau-1.20.1-4.12.7-all.jar)"
Magia,irons-spellbooks,OK,"Project "Dark Doppelganger - Irons Spells And Spellbooks Addon" successfully added! (darkdoppelganger-9.8.2-1.20.1.jar)"
Magia,botania,OK,"Project "Botania" successfully added! (Botania-1.20.1-456-FORGE.jar)"
Magia,evilcraft,OK,"Project "EvilCraft" successfully added! (EvilCraft-1.20.1-1.3.3.jar)"
Magia,ars-elemental,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Magia,ars-creo,OK,"Project "Ars Creo" successfully added! (ars_creo-1.20.1-4.3.0.jar)"
Magia,occultism,OK,"Project "Occultism" successfully added! (occultism-1.20.1-1.158.0.jar)"
Magia,apotheosis,OK,"Project "Apotheosis" successfully added! (Apotheosis-1.20.1-7.4.8.jar)"
Magia,puffish-skills,OK,"Project "Puffish Skills Leveling" successfully added! (puffish_skill_leveling-0.17.2-1.20-forge_hotfix.jar)"
Combate,tetra,OK,"Project "tetra" successfully added! (tetra-1.20.1-6.17.0.jar)"
Combate,silent-gear,OK,"Project "Silent Gear" successfully added! (silent-gear-1.20.1-3.6.7.jar)"
Combate,simply-swords,OK,"Project "Simply Swords" successfully added! (simplyswords-forge-neoforge-1.70.2-1.20.1.jar)"
Combate,bettercombat-forge,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Combate,dungeons-plus,OK,"Project "Dungeons Plus" successfully added! (dungeons_plus-1.20.1-1.5.0.jar)"
Combate,first-aid,OK,"Project "Medical Remedies (Formerly Marbled's First Aid)" successfully added! (marbledsfirstaid-1.20.1forge-1.2.1.0.jar)"
Combate,spartan-weaponry,OK,"Project "Spartan Weaponry" successfully added! (SpartanWeaponry-1.20.1-forge-3.2.1-all.jar)"
Combate,spartan-shields,OK,"Project "Spartan Shields" successfully added! (SpartanShields-1.20.1-forge-3.1.1.jar)"
Estructuras,yungsbetterdungeons,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Estructuras,yungsbettermineshafts,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Estructuras,yungsbetterstrongholds,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Estructuras,yungsbetteroceanmonuments,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Estructuras,yungsbetternetherfortresses,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Estructuras,yungsbridges,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Estructuras,yungsextras,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Estructuras,repurposed-structures,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Estructuras,dungeon-crawl,OK,"Project "Dungeon Crawl" successfully added! (Dungeon Crawl-1.20.1-2.3.15.jar)"
Estructuras,towns-and-towers,OK,"Project "Towns and Towers" successfully added! (Towns-and-Towers-1.12-Fabric+Forge.jar)"
Decoracion,chipped,OK,"Project "Chipped" successfully added! (chipped-forge-1.20.1-3.0.7.jar)"
Decoracion,quark,OK,"Project "Quark" successfully added! (Quark-4.0-462.jar)"
Decoracion,sophisticated-backpacks,OK,"Project "Sophisticated Backpacks" successfully added! (sophisticatedbackpacks-1.20.1-3.26.3.2157.jar)"
Decoracion,sophisticated-storage,OK,"Project "Sophisticated Storage" successfully added! (sophisticatedstorage-1.20.1-1.4.86.2131.jar)"
Decoracion,farmers-delight,OK,"Project "Farmer's Delight" successfully added! (FarmersDelight-1.20.1-1.3.4.jar)"
Decoracion,farmers-respite,OK,"Project "Farmer's Respite" successfully added! (farmersrespite-1.20.1-2.1.2.jar)"
Decoracion,nethers-delight,OK,"Project "Nether's Delight" successfully added! (nethersdelight-1.20.1-4.0.jar)"
Decoracion,cooking-for-blockheads,OK,"Project "Cooking for Blockheads" successfully added! (cookingforblockheads-forge-1.20.1-16.0.15.jar)"
Decoracion,macaws-bridges,OK,"Project "Macaw's Bridges" successfully added! (mcw-bridges-3.1.2-mc1.20.1forge.jar)"
Decoracion,macaws-doors,OK,"Project "Macaw's Doors" successfully added! (mcw-doors-1.1.5-mc1.20.1forge.jar)"
Decoracion,macaws-windows,OK,"Project "Macaw's Windows" successfully added! (mcw-mcwwindows-2.4.2-mc1.20.1forge.jar)"
Decoracion,macaws-fences-and-walls,OK,"Project "Macaw's Fences and Walls" successfully added! (mcw-mcwfences-1.2.1-mc1.20.1forge.jar)"
Decoracion,macaws-roofs,OK,"Project "Macaw's Roofs" successfully added! (mcw-roofs-2.3.2-mc1.20.1forge.jar)"
Decoracion,macaws-paths-and-pavings,OK,"Project "Macaw's Paths and Pavings" successfully added! (mcw-mcwpaths-1.1.1-mc1.20.1forge.jar)"
Decoracion,macaws-furniture,OK,"Project "Macaw's Furniture" successfully added! (mcw-furniture-3.4.1-mc1.20.1forge.jar)"
Decoracion,supplementaries,OK,"Project "Supplementaries" successfully added! (supplementaries-1.20-3.1.43-forge.jar)"
Decoracion,handcrafted,OK,"Project "Handcrafted" successfully added! (handcrafted-forge-1.20.1-3.0.6.jar)"
